HAP1.1	HAP1.2	HAP1.3	HAP1.4	HAP1.5	HAP1.6	HAP1.7	HAP1.8	HAP1.9	MDS-L.1	A673.1	K562.1	K562.2	K562.3	K562.4	K562.5	K562.6	K562.7	K562.8	K562.9
0	0	0	0	0	0	0	0	332	68	1346	281	309	3	2	0	0	0	0	0
28	35	32	28	27	31	27	24	588	784	503	815	673	155	154	129	82	72	129	132
8	13	4	3	5	5	3	5	275	0	363	194	193	2	2	3	12	10	0	0
0	0	0	0	0	0	0	0	290	72	284	111	90	18	18	7	9	23	12	6
0	4	2	1	1	6	2	4	421	132	282	321	333	0	0	0	0	0	0	0
9	5	3	5	5	5	6	6	311	113	535	283	312	38	38	36	14	11	7	6
0	0	0	0	0	0	0	0	0	82	115	255	232	1	1	0	0	0	2	3
0	0	0	0	0	0	0	0	0	261	247	422	386	31	30	20	9	10	20	13
0	0	0	0	0	0	0	3	137	132	125	283	289	9	12	5	1	2	8	7
2	3	0	0	0	0	0	0	264	99	393	268	315	34	38	35	12	12	10	11
2	0	0	0	0	0	0	0	245	261	271	390	393	23	19	12	3	4	15	15
0	0	0	0	0	0	0	0	0	128	68	99	89	2	0	1	0	1	0	0
4	3	0	0	3	3	3	0	135	168	352	199	175	24	24	34	26	33	10	10
0	0	0	0	0	0	0	0	74	36	80	98	122	0	0	0	0	0	0	0
27	29	22	19	29	26	21	23	595	60	885	50	58	6	9	7	26	20	10	10
2	2	2	0	2	1	3	1	114	37	224	227	208	28	21	33	18	20	10	10
12	14	12	16	14	11	18	10	285	216	290	393	367	60	61	42	21	17	43	44
15	12	25	27	21	22	18	21	256	195	264	320	328	50	46	36	13	10	32	37
0	0	0	0	2	0	0	3	0	59	57	60	45	2	0	0	2	0	0	2
6	4	6	5	5	6	3	4	0	33	121	197	192	12	12	6	7	6	8	5
0	0	0	0	0	0	0	0	74	141	127	172	163	16	15	16	1	2	9	8
0	0	0	0	0	0	0	0	0	23	39	139	125	24	23	13	12	12	8	7
9	4	8	5	9	8	8	8	195	383	147	189	184	14	16	11	3	2	19	15
4	2	0	0	4	2	2	3	163	150	181	236	220	15	16	14	2	3	8	8
0	0	0	0	0	0	0	0	0	49	65	128	131	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	77	92	65	130	150	0	0	0	0	0	0	0
4	6	6	9	7	7	6	7	187	134	276	311	308	18	16	13	4	2	8	6
2	0	0	0	0	0	0	0	104	149	122	194	183	13	14	10	3	4	12	16
2	0	3	3	0	0	0	0	193	61	134	162	176	2	4	6	0	0	0	0
3	2	0	2	0	3	0	0	0	148	202	240	265	13	11	13	2	0	12	15
22	15	19	12	23	20	15	14	301	250	152	294	321	14	11	11	3	1	22	20
0	0	0	0	0	1	0	0	72	69	118	129	117	4	4	0	0	0	3	2
0	1	0	0	0	0	0	0	90	24	236	29	26	2	2	2	14	18	2	2
0	0	0	0	2	0	0	0	108	17	87	123	133	0	0	0	0	0	0	0
1	4	2	2	0	2	0	2	0	122	329	142	151	2	2	0	2	0	0	0
0	0	0	0	0	0	0	0	57	13	207	141	153	3	3	0	0	0	1	0
0	0	0	0	0	0	0	0	65	73	69	111	111	0	0	0	0	0	0	0
2	2	0	0	0	0	0	0	0	135	154	216	204	17	16	11	1	3	16	14
2	4	0	2	3	2	2	2	0	101	99	153	160	18	18	7	3	4	13	17
0	0	0	0	0	0	0	0	53	38	86	171	172	3	3	1	0	0	2	2
0	0	0	0	2	2	0	0	0	23	76	169	161	7	9	4	0	0	6	4
0	0	0	0	0	0	0	0	35	78	60	99	95	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	120	87	130	136	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	68	23	123	154	133	0	0	1	0	0	0	0
0	0	0	0	0	0	3	0	147	77	166	107	104	5	2	1	0	0	0	0
0	0	0	0	0	0	0	0	144	0	0	2	10	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	58	79	39	33	6	5	10	32	37	6	5
0	0	0	0	0	0	0	0	74	123	84	115	104	2	2	1	0	0	1	0
2	1	0	0	0	1	1	0	56	57	94	140	132	44	43	41	29	33	46	51
0	0	0	0	0	0	0	0	54	25	60	84	90	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	52	30	56	84	85	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	66	39	61	81	86	2	1	1	0	0	2	0
0	0	0	0	0	0	0	0	0	34	68	63	80	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	126	84	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	27	115	82	72	1	2	2	5	8	0	0
0	0	2	0	0	0	2	0	0	24	98	59	31	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	75	71	120	67	63	7	11	10	15	12	0	2
6	9	7	7	8	8	6	4	191	236	235	309	349	16	17	15	6	7	30	34
0	0	0	2	0	0	0	0	49	6	27	76	85	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	69	60	93	159	175	13	12	11	3	3	3	7
0	0	0	0	0	0	0	0	15	67	18	22	9	21	19	21	20	24	26	33
0	0	0	0	0	0	5	2	159	97	161	171	177	9	8	7	2	2	8	8
0	0	0	0	0	0	0	0	159	43	103	101	92	2	0	0	0	0	3	2
1	2	1	2	2	0	0	0	76	73	94	128	117	10	12	8	1	4	0	2
0	0	0	0	0	0	0	0	0	0	0	84	112	0	0	0	0	0	0	0
0	0	0	3	2	2	2	0	0	128	81	145	134	19	16	9	2	3	10	9
0	0	0	0	0	0	0	0	47	13	51	92	104	0	0	0	0	0	0	0
2	1	0	0	2	1	0	0	58	58	112	126	112	45	42	34	54	50	35	39
0	0	2	0	0	0	0	0	77	11	68	29	35	1	4	0	0	0	0	0
0	0	0	0	0	0	0	0	149	0	123	81	105	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	66	15	74	99	106	5	5	4	2	2	2	2
22	17	26	26	25	23	22	24	376	458	265	431	428	45	50	37	24	28	35	27
0	0	0	0	0	0	0	0	74	80	65	68	82	2	2	0	0	0	0	1
23	24	24	26	24	22	18	23	213	405	323	536	580	59	53	45	26	27	50	53
0	0	0	0	0	0	0	0	0	70	65	112	109	4	2	0	0	0	2	4
0	0	0	0	0	0	0	1	125	38	97	154	144	11	12	7	7	5	3	4
0	0	0	0	1	0	0	0	105	0	78	48	48	2	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	55	218	37	37	2	0	0	0	0	0	0
13	7	5	6	7	6	5	4	0	134	141	165	163	22	22	15	8	5	25	20
0	0	0	0	0	0	0	0	0	0	0	259	230	37	31	21	12	10	16	21
0	0	0	0	4	2	0	0	83	24	109	169	178	16	14	6	7	4	4	4
0	0	0	0	0	0	0	0	0	105	85	100	101	4	8	4	0	3	4	3
3	3	2	0	0	4	3	2	153	71	101	109	119	6	6	5	2	3	12	12
0	0	2	2	0	0	0	0	0	116	98	80	83	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	35	75	68	97	102	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	27	64	84	93	1	2	0	0	0	0	0
12	15	24	21	16	14	19	22	0	258	266	208	169	6	7	3	4	2	10	12
0	0	0	0	0	0	0	0	28	79	38	89	85	1	2	1	0	0	0	0
0	0	0	3	1	2	2	0	69	30	106	79	65	3	4	2	0	0	0	0
0	0	0	0	2	0	0	0	0	34	114	99	94	4	5	2	0	2	2	0
0	0	0	0	0	0	0	0	0	8	63	64	76	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	103	86	121	103	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	26	19	143	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	127	3	76	75	67	0	0	0	0	0	0	0
4	0	5	0	2	0	0	2	123	37	86	136	122	7	6	4	2	1	1	1
0	0	0	0	0	0	0	0	0	32	57	80	70	0	0	0	0	0	0	0
4	3	4	2	2	4	0	3	106	144	125	239	216	8	7	5	2	2	13	11
0	0	0	0	0	0	0	0	31	63	68	81	78	2	0	0	0	0	0	0
8	8	5	9	8	5	4	4	0	136	187	413	444	14	12	9	4	4	16	16
